Months.customer,Minutes.in.2018,Number.of.SMS,KBs.used,Total.Unique.Calls,Churn.Status,Customer.Age,LoginsSite.Last.6Months,EndSubscription,Total.Call.centre.complaint.calls,MonthlySubscriptionPrice,Province_Flevoland,Province_Friesland,Province_Gelderland,Province_Groningen,Province_Limburg,Province_Noord-Brabant,Province_Noord-Holland,Province_Overijssel,Province_Utrecht,Province_Zeeland,Province_Zuid-Holland
103.27,5937.12,1,1290513.913,557,0,39,10,7,2,16.53108969827,0,0,0,0,0,0,1,0,0,0,0
80.6,1186.44,0,42678.7422,9,0,63,12,5,13,40.969180099215706,0,0,0,0,0,0,0,0,0,0,1
91.57,6006.191999999999,2,14016501.09,54,0,51,13,3,1,46.30577135233371,0,0,0,0,0,0,0,1,0,0,0
83.17,513.66,1,74275.2901,5,0,67,12,2,3,26.747665396313,0,1,0,0,0,0,0,0,0,0,0
36.87,8293.1904,6,774782.8448,805,1,41,11,1,3,25.689115310665496,0,0,0,0,0,1,0,0,0,0,0
23.8,6323.9352,56,1874057.9019999998,239,0,22,13,4,1,32.088496683245204,0,0,0,0,0,0,0,1,0,0,0
3.67,2870.58,51,262430.7578,137,0,57,11,6,1,16.665110073738898,0,0,0,0,0,0,0,1,0,0,0
72.83,7589.82,128,438808.2159,165,1,24,15,7,15,4.96891940693784,0,0,0,0,0,0,0,0,1,0,0
42.57,458.2824,16,102332.8555,4,1,55,16,6,1,28.278595967349702,0,0,0,0,0,0,1,0,0,0,0
19.7,914.868,34,1106.2207,20,1,71,14,5,1,27.287832672066497,0,0,0,0,0,1,0,0,0,0,0
3.73,532.68,0,2771.9062,13,1,33,13,5,1,16.718851995634598,0,0,0,0,0,1,0,0,0,0,0
89.8,450.408,37,4824.7158,4,1,97,13,3,1,15.1355793998226,0,0,0,0,0,1,0,0,0,0,0
39.13,7805.64,2,1831580.459,334,1,44,12,5,1,23.7608408952557,0,0,0,0,0,0,1,0,0,0,0
3.63,2924.4,4,52642.8291,33,0,37,10,5,3,12.353270238378698,0,0,0,0,0,1,0,0,0,0,0
4.4,1081.428,0,49.0645,112,0,43,10,2,1,50.627907290712606,0,0,0,0,0,0,0,0,1,0,0
62.77,4272.384,19,1863.6113,150,0,75,9,6,1,48.732156070208305,0,0,1,0,0,0,0,0,0,0,0
22.07,1118.4432,18,1752.0635,30,1,71,13,8,1,31.3449967331955,0,0,0,0,1,0,0,0,0,0,0
138.5,6356.724,0,793819.2588,444,0,68,13,5,1,37.827955856368106,0,0,0,0,0,0,0,0,0,0,1
4.5,6439.728,0,41440817.15,114,0,72,12,2,1,58.613258831767794,0,0,0,0,0,0,0,0,0,0,1
161.53,8204.34,0,3076593.1989999996,597,1,22,11,5,12,35.279580317249795,0,0,0,0,0,0,1,0,0,0,0
9.4,1912.332,18,12481926.14,3,0,28,10,5,1,22.571544315485102,0,0,0,0,0,0,0,1,0,0,0
21.7,4434.3168,137,8560.0986,75,1,38,15,3,1,0.861376266159851,0,0,0,0,0,0,1,0,0,0,0
39.87,930.0048,24,254941.6182,13,1,51,12,6,1,22.364030531929497,0,1,0,0,0,0,0,0,0,0,0
12.57,5384.04,0,1376099.551,694,0,50,14,2,1,35.109479475633805,0,0,0,0,1,0,0,0,0,0,0
15.07,10126.08,18,12370663.76,578,1,21,13,6,1,25.311024292720003,0,0,1,0,0,0,0,0,0,0,0
31.03,1778.52,2,36708.586,55,0,22,12,1,1,19.5540345223749,0,0,0,0,0,1,0,0,0,0,0
12.17,2697.8304,7,20118693.29,11,0,46,10,5,3,54.1908871789266,0,0,0,0,0,0,0,0,0,0,1
5.73,142.15200000000002,14,79.1143,2,1,29,14,6,1,22.4078371268929,0,0,0,0,0,1,0,0,0,0,0
5.8,940.632,32,201527.4873,23,1,57,14,1,1,14.811375693797801,0,0,0,0,0,1,0,0,0,0,0
31.4,238.9824,3,75.1768,15,1,49,10,1,2,48.4156118379982,0,0,0,0,0,1,0,0,0,0,0
4.0,2748.4152,0,13718896.96,140,0,53,10,1,1,11.825100331635001,0,0,1,0,0,0,0,0,0,0,0
8.57,3480.6096,7,32422253.71,32,0,28,12,6,6,45.5023477747289,0,0,0,0,0,0,0,0,0,0,1
4.57,1179.54,0,38424.5,40,1,22,12,4,1,28.1700954949188,0,0,0,0,0,0,0,0,0,0,1
62.2,838.92,15,15420.0967,41,1,33,10,1,1,-24.6687760505605,0,0,0,1,0,0,0,0,0,0,0
-0.13,17392.944,25,305853.3282,642,1,36,10,4,1,29.108814429453002,0,0,0,0,1,0,0,0,0,0,0
55.1,6635.472,14,2959285.291,527,0,37,11,1,1,19.881497293290103,0,0,0,0,1,0,0,0,0,0,0
27.1,5042.795999999999,1,1090308.83,271,0,56,11,8,9,22.6628343384492,0,0,0,0,0,1,0,0,0,0,0
43.43,633.36,32,10.5029,11,1,95,8,3,1,42.170808848946,0,0,0,0,0,1,0,0,0,0,0
32.8,5786.4768,59,126.91799999999999,233,1,18,10,2,1,33.4108359056752,0,0,0,0,0,0,1,0,0,0,0
16.57,4724.22,0,648.1895,20,0,69,14,1,5,38.4425266003841,0,0,1,0,0,0,0,0,0,0,0
5.47,7469.1264,2,8571344.329,328,0,55,12,4,1,26.5809728090088,0,0,0,0,0,0,0,0,0,0,1
10.23,3235.44,10,21856.3565,49,0,19,12,6,2,45.4514954579308,0,0,0,0,0,0,0,0,1,0,0
18.97,1419.7704,18,9040.2402,52,0,64,13,12,3,36.8793330279303,0,1,0,0,0,0,0,0,0,0,0
69.53,4626.1824,32,875100.6367,222,1,46,9,3,1,10.3968499829323,0,0,0,0,0,0,0,1,0,0,0
119.2,922.404,7,289.2783,37,1,49,11,5,1,30.2842501408348,0,0,1,0,0,0,0,0,0,0,0
10.23,2841.636,5,3494.3740000000003,96,0,32,13,1,1,46.80343219141751,0,0,0,0,0,1,0,0,0,0,0
61.67,235.68,18,10.749,4,1,71,12,3,1,31.686484334102996,0,1,0,0,0,0,0,0,0,0,0
24.83,2702.7072,32,118434.7422,176,0,38,11,4,1,40.354957500753606,0,0,0,0,0,0,0,0,0,0,1
58.6,3338.1696,5,190.5137,193,0,30,13,4,1,34.9995106021365,0,0,0,0,1,0,0,0,0,0,0
24.77,7299.564,9,159984.2959,337,0,28,11,4,3,22.6669690725905,0,0,0,0,0,0,1,0,0,0,0
8.1,4841.6759999999995,7,106262.2588,245,1,59,12,4,1,5.33529249798601,0,0,0,0,0,0,0,0,0,0,0
70.37,1150.08,0,164809.3564,12,1,24,10,2,6,33.1714734610394,0,0,0,0,0,0,0,0,1,0,0
112.73,6277.968000000001,7,312453.664,364,0,64,9,3,2,45.6902998901511,0,0,0,0,0,0,0,0,0,0,1
12.93,731.5968,30,7794.5664,13,1,64,12,1,1,18.2376414054965,0,0,0,0,0,1,0,0,0,0,0
15.03,6134.4,11,2651372.8430000003,500,0,31,11,2,2,35.540060860787705,0,0,0,0,0,0,1,0,0,0,0
84.77,3268.6679999999997,42,968509.3301,822,0,77,11,5,1,46.4668166472241,0,0,1,0,0,0,0,0,0,0,0
7.57,1319.424,34,35845.0654,55,1,24,13,3,1,14.899469368155598,0,0,0,0,0,1,0,0,0,0,0
62.27,720.7224,23,440.1846,23,1,51,12,6,1,14.8588274532544,0,0,0,0,0,0,1,0,0,0,0
3.5,361.452,0,1000420.099,2,1,59,10,5,1,14.199941124117801,0,0,0,0,0,1,0,0,0,0,0
93.73,2643.0096,7,946863.3144,41,0,24,11,5,8,28.9150531926193,0,0,0,0,0,0,0,0,0,0,1
39.93,14930.628,26,1213104.4340000001,268,1,53,10,3,1,51.459901293594896,0,0,0,0,1,0,0,0,0,0,0
141.2,15407.7,17,813623.8799,624,1,41,14,4,1,20.4351806358783,1,0,0,0,0,0,0,0,0,0,0
85.87,7333.3224,42,353759.3291,98,1,31,9,5,3,-6.913680627725849,0,0,0,0,0,0,0,0,0,0,1
7.0,184.7304,7,702.4287,9,1,18,10,4,1,22.477644077322804,0,0,0,0,0,0,0,0,0,0,1
77.07,6563.531999999999,15,459247.2343,63,0,84,14,7,1,34.3371568104596,0,0,0,0,0,0,0,0,1,0,0
106.4,2968.38,2,2555.8096,87,0,35,8,4,1,42.1139437130126,0,0,0,0,0,0,0,1,0,0,0
12.2,7806.8928,24,266689.4639,1128,1,45,12,4,2,16.2640555498745,0,0,0,0,0,0,0,0,1,0,0
4.3,6813.12,76,6615818.753,168,1,76,13,2,2,18.7902656028248,0,0,0,0,0,0,0,0,1,0,0
3.73,618.6504,2,1262138.999,13,1,36,10,3,1,18.803112436784502,0,0,0,0,0,0,0,0,0,0,1
4.3,634.572,7,4.5273,34,1,51,14,4,1,29.3196798385949,0,1,0,0,0,0,0,0,0,0,0
131.83,6174.84,24,590660.2422,339,0,85,12,6,1,22.9139017163869,0,0,0,1,0,0,0,0,0,0,0
26.43,40130.88,12,7201706.051,575,0,62,10,2,1,26.853147598727396,0,0,0,0,0,0,1,0,0,0,0
17.23,3649.3920000000003,2,34119740.49,44,0,47,9,6,4,27.2325834220293,0,0,0,0,0,0,1,0,0,0,0
115.97,1133.4,28,5279.8809,32,0,52,14,4,4,29.3171159561254,0,0,0,0,0,0,0,0,0,0,1
32.47,878.628,23,900.5996,30,1,68,17,6,1,42.811252593452295,0,0,0,0,0,0,0,1,0,0,0
22.37,713.712,5,151865.1455,5,1,53,15,3,1,28.0418183699901,0,0,0,0,1,0,0,0,0,0,0
46.57,1181.448,11,196.5947,48,1,62,13,3,1,3.30759240411717,0,0,0,0,0,0,0,0,0,0,1
63.67,1481.6088,23,13070.3477,174,0,93,17,5,1,41.0355909670046,0,0,0,0,0,1,0,0,0,0,0
71.07,3883.2408,15,6050.709,200,1,25,11,1,1,25.2683542223677,0,0,0,0,0,0,0,0,0,0,1
3.9,753.9624,0,151034.4561,15,1,76,15,3,2,3.1576195721246805,0,0,0,0,0,0,0,0,0,0,1
93.1,254.88,12,332.3574,7,1,42,12,1,1,42.4461553106179,0,0,0,0,0,1,0,0,0,0,0
35.2,5083.0392,25,274.0664,415,0,64,8,4,7,48.2580626841491,0,0,0,0,0,0,1,0,0,0,0
31.4,750.9,2,12096.7159,22,1,63,15,4,1,21.5995465401273,0,0,1,0,0,0,0,0,0,0,0
4.1,165.06,2,398.6514,5,0,38,13,1,1,39.7255696280048,1,0,0,0,0,0,0,0,0,0,0
12.3,958.5239999999999,17,4868.1738,12,1,44,15,7,1,23.5771288283645,0,0,1,0,0,0,0,0,0,0,0
6.87,26903.34,255,2807094.6010000003,569,0,23,12,3,2,37.3069199691217,0,0,0,0,0,1,0,0,0,0,0
9.37,7820.268,3,23869.7158,452,1,40,13,3,1,9.6187976620905,0,0,0,0,0,0,1,0,0,0,0
9.47,5284.62,0,84606.3692,932,0,69,12,5,1,39.8422313494276,0,0,1,0,0,0,0,0,0,0,0
103.8,6873.66,2,1164443.2959999999,600,0,66,12,1,3,17.5152375504884,0,0,0,0,0,0,0,0,0,0,0
5.03,5397.7944,5,39960102.3,33,0,33,11,5,1,38.328766002015904,0,0,1,0,0,0,0,0,0,0,0
51.13,4147.392,0,4451.5489,251,1,29,8,3,2,14.633061805223802,0,0,0,0,0,0,0,1,0,0,0
6.5,1196.2704,24,269214.8594,2,1,35,13,3,1,23.361605235332103,0,0,0,0,0,0,1,0,0,0,0
6.9,533.34,18,365.0967,22,1,43,13,6,1,12.597761673143198,0,0,0,0,0,0,0,0,1,0,0
35.37,2538.0768,5,381433.8233,351,0,60,10,8,2,-2.98487754246235,0,0,0,0,0,1,0,0,0,0,0
47.97,6483.72,16,2591950.424,166,0,66,9,1,2,25.398839644172515,0,0,0,0,0,0,1,0,0,0,0
11.03,8810.22,164,285336.3916,87,1,63,17,5,2,9.099575287476199,0,0,0,0,0,0,0,1,0,0,0
69.5,450.94800000000004,21,47.126000000000005,16,1,61,9,5,1,41.979620288685105,0,0,0,0,0,0,0,0,0,0,1
20.63,250.2,25,248.5791,1,1,63,7,5,1,33.2585904667544,0,0,0,0,0,0,0,1,0,0,0
141.53,2766.18,0,1807971.9230000002,260,0,91,13,4,1,47.6101853367399,0,0,0,0,0,0,0,0,0,0,1
66.47,2933.4959999999996,31,5483217.191000001,28,0,30,13,3,1,50.5006753839939,0,0,0,0,0,0,0,1,0,0,0
62.3,70.092,0,9.8506,11,0,48,11,2,2,26.685076843248,0,0,1,0,0,0,0,0,0,0,0
4.23,1961.148,2,11379472.08,5,0,47,17,5,11,48.57755399987221,0,0,1,0,0,0,0,0,0,0,0
3.9,4238.916,54,66691.7031,254,0,59,11,10,2,46.5467838544546,0,0,0,0,0,0,0,0,0,0,1
29.5,2743.5024,8,18400.9336,45,0,56,15,6,1,48.3334501603265,0,0,0,0,0,0,0,0,0,0,1
121.77,5719.44,24,565084.7032,560,1,70,13,3,1,21.6782082179363,0,0,0,0,0,1,0,0,0,0,0
31.37,419.98800000000006,10,28.8105,22,1,55,12,3,1,10.761945337897801,0,0,1,0,0,0,0,0,0,0,0
4.57,2922.132,0,3837.4932,228,0,63,15,12,1,39.8024759852394,0,0,0,0,0,1,0,0,0,0,0
49.77,2604.9432,36,1196437.882,54,0,73,15,6,1,24.8970591672856,0,0,0,0,0,0,1,0,0,0,0
33.03,461.80800000000005,13,29.2568,70,1,84,12,5,1,45.893817303667,0,0,0,0,0,1,0,0,0,0,0
43.9,149.436,12,32.9023,1,1,74,14,5,1,-1.3877505876262302,0,0,0,0,0,0,1,0,0,0,0
29.6,5271.9,9,115805.20800000001,237,0,36,12,1,1,46.528827684197395,0,0,0,0,1,0,0,0,0,0,0
47.87,588.1968,5,245.7012,21,1,18,13,2,2,30.332173526367,0,0,0,0,0,0,0,0,0,0,1
14.07,7021.02,27,106.0205,293,1,30,13,4,1,25.8931779298887,0,1,0,0,0,0,0,0,0,0,0
3.77,812.04,0,740.4785,19,0,63,9,2,1,35.9288494754122,0,0,0,0,0,0,0,1,0,0,0
10.73,7929.096,23,2603045.233,39,1,73,13,4,1,13.651164918396999,0,0,0,0,0,0,0,0,0,0,1
23.97,6758.4144,21,1227795.178,331,1,65,9,5,1,9.31594462036852,0,0,0,0,0,0,0,0,0,0,1
6.77,4344.06,15,3615.8906,138,1,53,10,2,1,25.2842562463482,0,0,0,0,1,0,0,0,0,0,0
89.33,4906.32,19,997772.8184,234,0,59,13,7,1,45.26273019576921,0,0,0,0,0,1,0,0,0,0,0
12.07,5258.52,0,1059366.387,469,0,54,12,4,3,27.731278870847603,0,0,0,0,0,0,0,0,0,0,1
124.87,421.596,32,194.0635,2,1,42,13,1,1,15.268315019347801,0,0,0,0,0,0,0,1,0,0,0
6.4,5075.9784,27,6248.2051,138,1,71,14,2,1,21.9969482529006,0,0,0,0,0,0,1,0,0,0,0
101.03,3473.928,13,4529486.773,48,0,56,14,4,1,26.9178086108315,0,0,0,0,0,0,0,0,0,0,1
18.6,356.6328,19,1131.0879,6,1,31,11,7,1,24.8512245291437,0,0,0,0,0,0,1,0,0,0,0
4.0,6683.2104,4,0.1211,111,0,45,13,2,2,52.8760594310168,0,0,0,0,0,0,0,0,0,0,1
179.13,6051.48,0,525649.7168,682,0,28,13,12,3,15.1900893394332,0,0,0,0,0,0,0,0,1,0,0
4.47,4875.0,74,663969.1299,554,0,56,9,5,1,51.7096773697315,0,0,0,0,0,0,1,0,0,0,0
27.8,6546.96,0,353192.4229,680,0,85,9,3,1,38.6541728355675,0,0,0,0,0,0,1,0,0,0,0
65.7,282.7224,28,231.5186,4,1,55,15,7,1,8.51578387224467,0,0,0,0,0,0,1,0,0,0,0
41.9,9523.08,45,3094540.414,524,1,29,11,5,1,36.3305734500739,0,0,0,0,0,0,0,0,1,0,0
60.73,6025.6776,21,144950.4023,241,1,28,10,7,1,23.152969221307803,0,0,0,0,0,0,0,0,0,0,1
47.77,222.0144,15,2441.9629,2,1,39,15,4,1,19.1305527652822,0,0,1,0,0,0,0,0,0,0,0
14.23,2419.308,15,28.002,60,0,61,14,2,1,-25.0535620684602,0,0,1,0,0,0,0,0,0,0,0
13.5,424.48800000000006,18,17.1338,27,1,58,13,3,1,18.4325111398056,0,0,0,0,0,1,0,0,0,0,0
44.2,21953.64,31,22332.0303,1059,0,25,13,5,1,77.700144756913,0,0,1,0,0,0,0,0,0,0,0
18.93,2347.4328,0,52.0947,57,0,51,8,3,2,41.131735884827,0,0,0,0,0,0,0,0,0,0,1
73.83,257.46,19,704.0,2,1,18,12,4,1,33.6801326123895,0,0,0,0,0,0,0,0,0,0,1
40.4,8968.8528,4,4970058.625,397,1,57,13,12,4,12.5646363960076,0,0,0,0,0,0,0,0,0,0,1
34.43,4999.8264,36,1087124.287,50,1,21,13,6,1,28.8949014427806,0,0,0,0,0,0,0,0,0,0,1
3.57,301.68,3,9157.915,8,1,68,10,2,1,18.8511747464668,0,0,0,0,0,0,0,0,0,0,1
52.9,689.7624,18,68.9609,369,1,65,14,6,1,25.431900734930803,0,0,0,0,0,0,0,0,0,0,1
120.3,2005.86,0,801397.2559,15,0,50,14,2,1,31.871056475891198,0,0,0,0,0,0,0,0,1,0,0
3.9,3168.948,0,1294.5195,96,0,67,12,7,1,50.4338378623743,0,0,0,0,0,0,0,0,1,0,0
141.7,2132.82,17,80075.2998,273,0,21,12,5,2,25.398839644172515,0,0,0,0,0,0,1,0,0,0,0
14.37,196.08,15,6.3379,1,1,58,12,12,1,19.8226073591628,0,0,0,0,1,0,0,0,0,0,0
10.07,1321.644,20,230911.1406,17,1,45,13,4,1,6.88496661759959,0,0,0,0,0,0,0,1,0,0,0
161.53,3701.7,4,53964.1377,560,0,58,12,3,4,18.4592397812901,0,0,1,0,0,0,0,0,0,0,0
68.37,3139.6656,50,168358.9795,73,0,72,15,2,1,36.730661846120896,0,0,0,0,0,0,0,0,0,0,1
4.1,754.8,16,11007903.08,8,1,67,12,4,2,24.409081186752502,0,0,0,0,0,1,0,0,0,0,0
35.27,1666.5,4,173652.1992,15,0,58,12,4,1,17.712305945165202,0,0,0,0,0,1,0,0,0,0,0
94.43,8043.491999999999,44,221134.4307,155,1,19,13,3,1,7.97893986657296,0,0,0,0,0,1,0,0,0,0,0
32.8,2771.448,13,1024847.318,123,0,52,12,5,1,20.6178364685988,0,0,0,0,0,0,0,0,0,0,1
46.63,361.75199999999995,26,56.3018,7,1,63,14,2,1,31.365941622464103,0,0,0,0,0,0,0,0,0,0,0
3.67,3536.82,130,727.7734,239,0,28,13,5,4,22.7206570090078,0,0,0,0,0,0,1,0,0,0,0
54.97,778.1448,0,484796.5537,18,0,49,10,4,1,30.844269855128797,0,0,0,0,0,0,0,0,0,0,1
31.1,3418.728,23,23344.958,85,0,79,12,4,1,37.8151175044855,1,0,0,0,0,0,0,0,0,0,0
76.63,178.572,14,108.9141,3,1,33,11,3,1,15.4216223667522,0,0,0,0,0,0,0,0,0,0,1
74.57,6768.66,82,1235577.751,401,0,55,11,3,1,45.655449716374996,0,0,0,0,0,0,0,0,0,0,1
59.83,6149.076,112,493671.9863,149,0,56,14,1,2,16.826953083720902,0,0,1,0,0,0,0,0,0,0,0
75.33,5485.68,5,874135.6006,512,0,25,13,1,1,15.603375842042999,0,0,0,0,0,1,0,0,0,0,0
46.63,6438.108,29,7174325.615,153,0,69,11,8,1,32.3192576477521,0,0,0,0,0,0,1,0,0,0,0
178.77,5536.308000000001,11,1838701.68,929,0,35,15,5,3,22.517581767059102,0,0,0,0,0,0,0,0,0,0,1
3.63,784.74,4,69972.8086,40,1,19,11,6,2,43.907671180443295,0,0,0,0,0,0,1,0,0,0,0
61.7,11013.48,138,683233.4356,200,1,56,14,3,1,19.8390195321353,0,0,1,0,0,0,0,0,0,0,0
6.17,4476.588,106,7210.9980000000005,33,0,30,12,4,2,7.539483198818081,0,0,0,0,0,0,0,0,0,0,1
54.33,5870.988,17,633.0381,6,1,72,11,12,1,23.5560579376226,1,0,0,0,0,0,0,0,0,0,0
18.2,513.9,14,48.4814,17,1,48,13,4,1,1.50630773352508,0,1,0,0,0,0,0,0,0,0,0
63.83,5644.044,0,248445.0889,122,0,30,12,12,1,31.814470317137605,0,0,0,0,0,1,0,0,0,0,0
