"","Customer.ID","Customer.Age","Customer.Municipality","Latitude","Longitude","Province","LoginsSite.Last.Month","LoginsSite.Last.6Months","EndSubscription","Total.Call.centre.complaint.calls"
"46","ADF0554",67,"Alphen aan den Rijn","52.1276577"," 4.6688508","Zuid-Holland",4,9,2019-06-21,3
"47","ADF1572",50,"Den Haag","52.0704978"," 4.3006999","Zuid-Holland",10,11,2019-03-07,1
"48","ADF0379",22,"Dantumadeel","53.2729807"," 5.9859302","Friesland",7,12,2019-03-18,1
"49","ADF0542",60,"Leidschendam-Voorburg","52.0877314"," 4.3993855","Zuid-Holland",4,11,2019-09-29,2
"50","ADF1232",40,"Oosterhout","51.6410202"," 4.8616901","Noord-Brabant",3,8,2019-04-02,3
"51","ADF1472",73,"Bladel","51.3629630"," 5.2136395","Noord-Brabant",3,11,2019-05-18,1
"52","ADF0369",29,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",5,11,2019-04-13,1
"53","ADF1293",35,"Etten-Leur","51.5868855"," 4.6671384","Noord-Brabant",3,11,2019-08-22,1
"54","ADF1796",60,"Ede","52.0401675"," 5.6648594","Gelderland",6,15,2019-03-13,4
"55","ADF1362",88,"Eindhoven","51.4416420"," 5.4697225","Noord-Brabant",8,15,2019-04-23,3
"56","ADF0378",45,"Brummen","52.0901666"," 6.1580145","Gelderland",3,12,2019-04-09,1
"57","ADF0387",24,"Goirle","51.5236773"," 5.0641948","Noord-Brabant",5,12,2019-01-08,1
"58","ADF1791",49,"Alphen aan den Rijn","52.1276577"," 4.6688508","Zuid-Holland",7,9,2019-06-05,1
"59","ADF1202",18,"Coevorden","52.6613567"," 6.7410616","Drenthe",7,10,2019-03-30,2
"60","ADF1708",98,"Oldebroek","52.4474448"," 5.8983168","Gelderland",7,13,2019-04-22,1
"61","ADF1850",53,"Midden-Drenthe","52.8611037"," 6.5123042","Drenthe",5,13,2018-11-23,1
"62","ADF1404",39,"Haarlemmermeer","52.3003784"," 4.6743594","Noord-Holland",6,10,2019-07-16,2
"63","ADF1880",63,"Strijen","51.7446835"," 4.5539197","Zuid-Holland",4,12,2019-05-12,13
"64","ADF1411",51,"Hardenberg","52.5754084"," 6.6166947","Overijssel",8,13,2019-03-25,1
"65","ADF0258",67,"De Friese Meren","52.9480029"," 5.7913877","Friesland",6,12,2019-02-28,3
"66","ADF1789",41,"Uden","51.6631071"," 5.6239227","Noord-Brabant",3,11,2019-01-27,3
"67","ADF1434",22,"Oldenzaal","52.3116551"," 6.9268283","Overijssel",5,13,2019-04-21,1
"68","ADF1163",57,"Zwolle","52.5167747"," 6.0830219","Overijssel",5,11,2019-06-30,1
"69","ADF0555",24,"Vianen","51.9902756"," 5.1030332","Utrecht",7,15,2019-07-14,15
"70","ADF0442",55,"Uitgeest","52.5312254"," 4.7120459","Noord-Holland",7,16,2019-06-24,1
"71","ADF0490",71,"Eindhoven","51.4416420"," 5.4697225","Noord-Brabant",4,14,2019-05-11,1
"72","ADF0612",33,"Woensdrecht","51.4292475"," 4.3047078","Noord-Brabant",7,13,2019-05-03,1
"73","ADF0438",97,"Tilburg","51.5605960"," 5.0919143","Noord-Brabant",5,13,2019-03-15,1
"74","ADF1772",44,"Hoorn","52.6423654"," 5.0602124","Noord-Holland",7,12,2019-05-07,1
"75","ADF0317",37,"Gemert-Bakel","51.5223418"," 5.7359912","Noord-Brabant",9,10,2019-05-22,3
"76","ADF1067",43,"Utrechtse Heuvelrug","52.0522029"," 5.2824946","Utrecht",3,10,2019-02-26,1
"77","ADF1266",75,"Neerijnen","51.8319019"," 5.2793557","Gelderland",5,9,2019-06-29,1
"78","ADF0621",71,"Beesel","51.2696984"," 6.0468338","Limburg",10,13,2019-08-21,1
"79","ADF1437",68,"Zuidplas","52.0067577"," 4.5827851","Zuid-Holland",3,13,2019-05-06,1
"80","ADF1442",72,"Zoetermeer","52.0606690"," 4.4940250","Zuid-Holland",1,12,2019-02-26,1
"81","ADF1787",22,"Heemskerk","52.5141460"," 4.6821367","Noord-Holland",10,11,2019-05-11,12
"82","ADF1100",28,"Zwolle","52.5167747"," 6.0830219","Overijssel",5,10,2019-05-24,1
"83","ADF0534",38,"Schagen","52.7880912"," 4.8043998","Noord-Holland",8,15,2019-03-09,1
"84","ADF0091",51,"Leeuwarden","53.2012334"," 5.7999133","Friesland",5,12,2019-06-12,1
"85","ADF1344",50,"Roermond","51.1913202"," 5.9877715","Limburg",5,14,2019-02-02,1
"86","ADF0560",21,"Brummen","52.0901666"," 6.1580145","Gelderland",7,13,2019-06-14,1
"87","ADF1094",22,"Sint Anthonis","51.6271613"," 5.8851934","Noord-Brabant",6,12,2019-01-22,1
"88","ADF1145",46,"Dordrecht","51.8132979"," 4.6900929","Zuid-Holland",3,10,2019-05-27,3
"89","ADF0359",29,"Meierijstad","51.6137038"," 5.5482128","Noord-Brabant",5,14,2019-06-28,1
"90","ADF0092",57,"Tilburg","51.5605960"," 5.0919143","Noord-Brabant",4,14,2019-01-29,1
"91","ADF0375",49,"Tilburg","51.5605960"," 5.0919143","Noord-Brabant",6,10,2019-01-04,2
"92","ADF1148",53,"Neder-Betuwe","51.9309372"," 5.5741030","Gelderland",8,10,2019-01-04,1
"93","ADF0325",28,"Capelle aan den IJssel","51.9301505"," 4.5777053","Zuid-Holland",5,12,2019-06-18,6
"94","ADF1656",22,"Leiden","52.1601144"," 4.4970097","Zuid-Holland",8,12,2019-04-18,1
"95","ADF1627",33,"Groningen","53.2193835"," 6.5665017","Groningen",3,10,2019-01-17,1
"96","ADF1925",36,"Maastricht","50.8513682"," 5.6909725","Limburg",3,10,2019-04-25,1
"97","ADF1458",37,"Maasgouw","51.1678052"," 5.8841399","Limburg",8,11,2019-01-27,1
"98","ADF1310",56,"'s-Hertogenbosch","51.6978162"," 5.3036748","Noord-Brabant",7,11,2019-08-16,9
"99","ADF0463",95,"Dongen","51.6287097"," 4.9382385","Noord-Brabant",7,8,2019-03-23,1
"100","ADF1722",18,"Heemskerk","52.5141460"," 4.6821367","Noord-Holland",6,10,2019-02-04,1
"101","ADF1963",69,"Nunspeet","52.3747719"," 5.7698950","Gelderland",8,14,2019-01-09,5
"102","ADF1515",55,"Zoetermeer","52.0606690"," 4.4940250","Zuid-Holland",4,12,2019-04-30,1
"103","ADF1197",19,"Houten","52.0029907"," 5.1857599","Utrecht",2,12,2019-06-29,2
"104","ADF0280",64,"Heerenveen","52.9605613"," 5.9205217","Friesland",6,13,2018-12-22,3
"105","ADF0112",46,"Zwartewaterland","52.6015125"," 6.0596251","Overijssel",4,9,2019-03-14,1
"106","ADF0492",49,"Bronckhorst","52.0755954"," 6.1808918","Gelderland",9,11,2019-05-17,1
"107","ADF1158",32,"Zundert","51.4707015"," 4.6623558","Noord-Brabant",3,13,2019-01-23,1
"108","ADF1564",71,"Opsterland","53.0395418"," 6.1153198","Friesland",5,12,2019-03-27,1
"109","ADF1146",38,"Leiden","52.1601144"," 4.4970097","Zuid-Holland",6,11,2019-04-26,1
"110","ADF1207",30,"Maasgouw","51.1678052"," 5.8841399","Limburg",5,13,2019-04-29,1
"111","ADF1504",28,"Amstelveen","52.3114207"," 4.8700870","Noord-Holland",3,11,2019-04-01,3
"112","ADF1696",59,"Meppel","52.6921234"," 6.1937187","Drenthe",10,12,2019-04-24,1
"113","ADF1649",24,"Utrechtse Heuvelrug","52.0522029"," 5.2824946","Utrecht",9,10,2019-02-04,6
"114","ADF1429",64,"Ridderkerk","51.8702526"," 4.6022335","Zuid-Holland",9,9,2019-03-13,2
"115","ADF0087",64,"Tilburg","51.5605960"," 5.0919143","Noord-Brabant",1,12,2019-01-12,1
"116","ADF1418",31,"Heemskerk","52.5141460"," 4.6821367","Noord-Holland",3,11,2019-02-24,2
"117","ADF1201",77,"Ede","52.0401675"," 5.6648594","Gelderland",2,11,2019-05-23,1
"118","ADF1662",24,"Deurne","51.4642201"," 5.7950679","Noord-Brabant",5,13,2019-03-19,1
"119","ADF0085",51,"Haarlemmermeer","52.3003784"," 4.6743594","Noord-Holland",1,12,2019-06-26,1
"120","ADF0417",59,"Best","51.5077637"," 5.3978482","Noord-Brabant",5,10,2019-05-09,1
"121","ADF0311",24,"Den Haag","52.0704978"," 4.3006999","Zuid-Holland",4,11,2019-05-11,8
"122","ADF0641",53,"Heerlen","50.8881742"," 5.9794988","Limburg",6,10,2019-03-08,1
"123","ADF1834",41,"Almere","52.3507849"," 5.2647016","Flevoland",5,14,2019-04-13,1
"124","ADF1761",31,"Westland","51.9991757"," 4.2174570","Zuid-Holland",6,9,2019-05-04,3
"125","ADF0366",18,"Albrandswaard","51.8580681"," 4.4231874","Zuid-Holland",9,10,2019-04-26,1
"126","ADF1453",84,"Leusden","52.1317932"," 5.4294692","Utrecht",3,14,2019-07-20,1
"127","ADF1171",35,"Zwolle","52.5167747"," 6.0830219","Overijssel",6,8,2019-04-24,1
"128","ADF1773",45,"De Ronde Venen","52.2066804"," 4.8867728","Utrecht",4,12,2019-04-11,2
"129","ADF1755",76,"Utrecht","52.0907374"," 5.1214201","Utrecht",4,13,2019-02-22,2
"130","ADF0460",36,"Bodegraven-Reeuwijk","52.0823259"," 4.7460844","Zuid-Holland",7,10,2019-03-06,1
"131","ADF1900",51,"Leeuwarden","53.2012334"," 5.7999133","Friesland",5,14,2019-04-22,1
"132","ADF1422",85,"Groningen","53.2193835"," 6.5665017","Groningen",3,12,2019-06-25,1
"133","ADF1546",62,"Gooise Meren","52.3047615"," 5.1396990","Noord-Holland",5,10,2019-02-26,1
"134","ADF1226",47,"Waterland","52.4470499"," 5.0154751","Noord-Holland",4,9,2019-06-03,4
"135","ADF1070",52,"Sliedrecht","51.8248681"," 4.7731624","Zuid-Holland",6,14,2019-04-09,4
"136","ADF1631",68,"Zwolle","52.5167747"," 6.0830219","Overijssel",5,17,2019-06-18,1
"137","ADF0470",53,"Venray","51.5270578"," 5.9753320","Limburg",9,15,2019-03-15,1
"138","ADF0099",62,"Waddinxveen","52.0312972"," 4.6591318","Zuid-Holland",7,13,2019-03-16,1
"139","ADF0281",93,"Eindhoven","51.4416420"," 5.4697225","Noord-Brabant",4,17,2019-05-24,1
"140","ADF0105",25,"Zuidplas","52.0067577"," 4.5827851","Zuid-Holland",5,11,2019-01-08,1
"141","ADF0473",76,"Albrandswaard","51.8580681"," 4.4231874","Zuid-Holland",5,15,2019-03-28,2
"142","ADF0383",42,"'s-Hertogenbosch","51.6978162"," 5.3036748","Noord-Brabant",4,12,2019-01-24,1
"143","ADF1314",64,"Schagen","52.7880912"," 4.8043998","Noord-Holland",5,8,2019-04-21,7
"144","ADF0472",63,"Neder-Betuwe","51.9309372"," 5.5741030","Gelderland",6,15,2019-04-27,1
"145","ADF1031",38,"Almere","52.3507849"," 5.2647016","Flevoland",3,13,2019-01-10,1
"146","ADF1638",44,"Berkelland","52.1151568"," 6.5615013","Gelderland",6,15,2019-07-01,1
"147","ADF1543",23,"Son en Breugel","51.5113940"," 5.4982192","Noord-Brabant",6,12,2019-03-22,2
"148","ADF1774",40,"Opmeer","52.7053787"," 4.9426672","Noord-Holland",9,13,2019-03-15,1
"149","ADF1333",69,"Druten","51.8940837"," 5.5942725","Gelderland",5,12,2019-05-14,1
"150","ADF1475",66,"Midden-Drenthe","52.8611037"," 6.5123042","Drenthe",5,12,2019-01-23,3
"151","ADF0335",33,"Oost Gelre","51.9901169"," 6.5670679","Gelderland",6,11,2019-05-18,1
"152","ADF1675",29,"Hellendoorn","52.3870446"," 6.4542947","Overijssel",6,8,2019-03-30,2
"153","ADF0510",35,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",4,13,2019-03-04,1
"154","ADF1974",43,"Veenendaal","52.0263009"," 5.5544309","Utrecht",4,13,2019-06-19,1
"155","ADF1132",60,"Breda","51.5719149"," 4.7683230","Noord-Brabant",9,10,2019-08-16,2
"156","ADF0338",66,"Haarlem","52.3873878"," 4.6462194","Noord-Holland",3,9,2019-01-24,2
"157","ADF1797",63,"Kampen","52.5579645"," 5.9144617","Overijssel",5,17,2019-05-25,2
"158","ADF0608",61,"Den Haag","52.0704978"," 4.3006999","Zuid-Holland",10,9,2019-05-08,1
"159","ADF1566",63,"Zwolle","52.5167747"," 6.0830219","Overijssel",5,7,2019-05-23,1
"160","ADF1149",91,"Capelle aan den IJssel","51.9301505"," 4.5777053","Zuid-Holland",7,13,2019-04-27,1
"161","ADF1169",30,"Kampen","52.5579645"," 5.9144617","Overijssel",6,13,2019-03-04,1
"162","ADF1027",48,"Zevenaar","51.9294445"," 6.0769590","Gelderland",7,11,2019-02-23,2
"163","ADF0295",47,"Apeldoorn","52.2111570"," 5.9699231","Gelderland",4,17,2019-05-15,11
"164","ADF1264",59,"Oegstgeest","52.1862262"," 4.4748104","Zuid-Holland",4,11,2018-10-23,2
"165","ADF0056",56,"Westland","51.9991757"," 4.2174570","Zuid-Holland",4,15,2019-06-22,1
"166","ADF1720",70,"Bergen op Zoom","51.4945758"," 4.2871622","Noord-Brabant",11,13,2019-03-12,1
"167","ADF0606",55,"Brummen","52.0901666"," 6.1580145","Gelderland",5,12,2019-03-04,1
"168","ADF1167",63,"Eindhoven","51.4416420"," 5.4697225","Noord-Brabant",8,15,2018-12-26,1
"169","ADF1138",73,"Alkmaar","52.6323813"," 4.7533754","Noord-Holland",8,15,2019-06-14,1
"170","ADF1590",84,"Best","51.5077637"," 5.3978482","Noord-Brabant",6,12,2019-05-25,1
"171","ADF0361",74,"Amstelveen","52.3114207"," 4.8700870","Noord-Holland",4,14,2019-05-31,1
"172","ADF1330",36,"Sittard-Geleen","51.0031681"," 5.8236706","Limburg",4,12,2019-01-21,1
"173","ADF0456",18,"Rotterdam","51.9244201"," 4.4777326","Zuid-Holland",5,13,2019-02-27,2
"174","ADF0123",30,"Dantumadeel","53.2729807"," 5.9859302","Friesland",7,13,2019-04-27,1
"175","ADF1954",63,"Hardenberg","52.5754084"," 6.6166947","Overijssel",7,9,2019-02-04,1
"176","ADF0128",73,"Kaag en Braassem","52.2041350"," 4.6313145","Zuid-Holland",9,13,2019-04-13,1
"177","ADF1754",65,"Den Haag","52.0704978"," 4.3006999","Zuid-Holland",8,9,2019-05-27,1
"178","ADF1680",53,"Echt-Susteren","51.0932240"," 5.9073645","Limburg",8,10,2019-02-12,1
"179","ADF1298",59,"Oosterhout","51.6410202"," 4.8616901","Noord-Brabant",4,13,2019-07-22,1
"180","ADF1327",54,"Rotterdam","51.9244201"," 4.4777326","Zuid-Holland",10,12,2019-04-07,3
"181","ADF0436",42,"Zwolle","52.5167747"," 6.0830219","Overijssel",3,13,2019-01-09,1
"182","ADF0539",71,"Alkmaar","52.6323813"," 4.7533754","Noord-Holland",3,14,2019-02-22,1
"183","ADF1215",56,"Hellevoetsluis","51.8318632"," 4.1318100","Zuid-Holland",4,14,2019-04-14,1
"184","ADF1576",31,"Haarlem","52.3873878"," 4.6462194","Noord-Holland",7,11,2019-07-29,1
"185","ADF1462",45,"Maassluis","51.9226067"," 4.2545656","Zuid-Holland",7,13,2019-02-09,2
"186","ADF1413",28,"Soest","52.1763515"," 5.2991970","Utrecht",8,13,2018-12-06,3
"187","ADF1295",56,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",4,9,2019-05-13,1
"188","ADF1451",85,"Hoorn","52.6423654"," 5.0602124","Noord-Holland",5,9,2019-03-29,1
"189","ADF1570",55,"Langedijk","52.6867108"," 4.7838987","Noord-Holland",3,15,2019-07-27,1
"190","ADF1919",29,"Amersfoort","52.1561113"," 5.3878266","Utrecht",5,11,2019-05-27,1
"191","ADF1910",28,"Rotterdam","51.9244201"," 4.4777326","Zuid-Holland",7,10,2019-07-19,1
"192","ADF0372",39,"Apeldoorn","52.2111570"," 5.9699231","Gelderland",7,15,2019-04-09,1
"193","ADF0053",61,"Lingewaard","51.9038908"," 5.9352210","Gelderland",7,14,2019-02-08,1
"194","ADF1585",58,"Breda","51.5719149"," 4.7683230","Noord-Brabant",4,13,2019-03-21,1
"195","ADF0069",25,"Putten","52.2453008"," 5.5684824","Gelderland",6,13,2019-05-16,1
"196","ADF1121",51,"Nissewaard","51.8480337"," 4.3287479","Zuid-Holland",5,8,2019-03-13,2
"197","ADF0386",18,"Den Haag","52.0704978"," 4.3006999","Zuid-Holland",5,12,2019-04-10,1
"198","ADF1798",57,"Midden-Delfland","51.9542011"," 4.2883099","Zuid-Holland",5,13,2018-12-20,4
"199","ADF1700",21,"Leiden","52.1601144"," 4.4970097","Zuid-Holland",6,13,2019-06-18,1
"200","ADF0397",68,"Hendrik-Ido-Ambacht","51.8423973"," 4.6395056","Zuid-Holland",8,10,2019-02-16,1
"201","ADF1612",65,"Sliedrecht","51.8248681"," 4.7731624","Zuid-Holland",6,14,2019-06-23,1
"202","ADF0298",50,"Utrecht","52.0907374"," 5.1214201","Utrecht",6,14,2019-02-17,1
"203","ADF1189",67,"De Bilt","52.1092717"," 5.1809676","Utrecht",5,12,2019-07-07,1
"204","ADF1110",21,"Wijdemeren","52.2196884"," 5.0936663","Noord-Holland",7,12,2019-05-13,2
"205","ADF0073",58,"Venlo","51.3703748"," 6.1724031","Limburg",5,12,2018-12-17,1
"206","ADF0524",45,"Enschede","52.2215372"," 6.8936619","Overijssel",6,13,2019-04-19,1
"207","ADF1231",58,"Renkum","51.9829826"," 5.7399780","Gelderland",6,12,2019-03-17,4
"208","ADF1185",72,"Krimpenerwaard","51.9822220"," 4.7816670","Zuid-Holland",8,15,2019-02-19,1
"209","ADF0474",67,"Breda","51.5719149"," 4.7683230","Noord-Brabant",7,12,2019-04-28,2
"210","ADF0285",58,"Breda","51.5719149"," 4.7683230","Noord-Brabant",7,12,2019-04-05,1
"211","ADF0636",19,"Dongen","51.6287097"," 4.9382385","Noord-Brabant",5,13,2019-03-10,1
"212","ADF1150",52,"Leiderdorp","52.1509854"," 4.5281733","Zuid-Holland",7,12,2019-05-19,1
"213","ADF0418",63,"Emmen","52.7132367"," 6.9557766","Drenthe",7,14,2019-02-14,1
"214","ADF1218",28,"Den Helder","52.9562808"," 4.7607971","Noord-Holland",6,13,2019-05-08,4
"215","ADF0265",49,"Hellevoetsluis","51.8318632"," 4.1318100","Zuid-Holland",8,10,2019-04-19,1
"216","ADF1212",79,"Almere","52.3507849"," 5.2647016","Flevoland",6,12,2019-04-08,1
"217","ADF1557",33,"Leiden","52.1601144"," 4.4970097","Zuid-Holland",3,11,2019-03-21,1
"218","ADF1466",55,"Vlaardingen","51.9120668"," 4.3494366","Zuid-Holland",5,11,2019-03-25,1
"219","ADF1965",56,"Maasdriel","51.7689071"," 5.3233045","Gelderland",3,14,2019-01-12,2
"220","ADF1356",25,"Bernheze","51.6602722"," 5.5014015","Noord-Brabant",5,13,2019-01-27,1
"221","ADF0597",69,"Zaanstad","52.4579659"," 4.7510425","Noord-Holland",4,11,2019-08-19,1
"222","ADF1368",35,"Den Haag","52.0704978"," 4.3006999","Zuid-Holland",3,15,2019-05-04,3
"223","ADF1624",19,"Purmerend","52.5143815"," 4.9640611","Noord-Holland",7,11,2019-06-30,2
"224","ADF1920",56,"Oude IJsselstreek","51.9110456"," 6.4055639","Gelderland",5,14,2019-03-11,1
"225","ADF0332",30,"Rotterdam","51.9244201"," 4.4777326","Zuid-Holland",5,12,2019-04-30,2
"226","ADF1726",72,"Lelystad","52.5185370"," 5.4714220","Flevoland",8,11,2018-12-04,1
"227","ADF0081",48,"Leeuwarderadeel","53.2644258"," 5.7523344","Friesland",6,13,2019-04-20,1
"228","ADF1373",30,"Etten-Leur","51.5868855"," 4.6671384","Noord-Brabant",7,12,2018-12-27,1
"229","ADF1607",38,"Waddinxveen","52.0312972"," 4.6591318","Zuid-Holland",8,13,2019-04-30,1
"230","ADF1208",23,"Lopik","51.9748610"," 4.9451478","Utrecht",10,12,2019-01-11,2
"231","ADF1760",36,"Baarn","52.2131825"," 5.2864096","Utrecht",8,11,2019-04-30,2
"232","ADF1887",34,"Nijkerk","52.2224835"," 5.4835625","Gelderland",4,10,2019-06-18,1
"233","ADF1416",1,"Weert","51.2519718"," 5.7138711","Limburg",7,12,2019-01-29,2
"234","ADF1710",24,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",3,11,2019-04-28,4
"235","ADF0078",66,"Nijmegen","51.8125626"," 5.8372264","Gelderland",2,14,2019-08-07,1
"236","ADF1219",55,"Medemblik","52.7674467"," 5.1069178","Noord-Holland",8,11,2019-03-29,2
"237","ADF1352",65,"Alphen aan den Rijn","52.1276577"," 4.6688508","Zuid-Holland",10,13,2018-12-21,6
"238","ADF1738",39,"Delfzijl","53.3310272"," 6.9244598","Groningen",6,12,2019-04-10,4
"239","ADF0327",21,"Heeze-Leende","51.3604415"," 5.5984597","Noord-Brabant",2,11,2019-03-14,1
"240","ADF1454",41,"Amersfoort","52.1561113"," 5.3878266","Utrecht",6,12,2019-04-30,1
"241","ADF0453",19,"Velsen","52.4520591"," 4.6305871","Noord-Holland",8,14,2019-03-24,1
"242","ADF1120",19,"Son en Breugel","51.5113940"," 5.4982192","Noord-Brabant",2,14,2019-05-09,1
"243","ADF0394",48,"Zeist","52.0906015"," 5.2332526","Utrecht",5,11,2019-03-12,1
"244","ADF0503",34,"De Bilt","52.1092717"," 5.1809676","Utrecht",4,15,2019-07-13,1
"245","ADF1130",94,"Oude IJsselstreek","51.9110456"," 6.4055639","Gelderland",5,14,2019-03-31,2
"246","ADF1029",69,"Epe","52.3450173"," 5.9836544","Gelderland",5,13,2019-03-17,4
"247","ADF1659",46,"Emmen","52.7132367"," 6.9557766","Drenthe",6,13,2019-02-04,1
"248","ADF1385",42,"Súdwest-Fryslân","52.9925"," 5.548611","Friesland",5,12,2019-01-16,1
"249","ADF1221",33,"Deurne","51.4642201"," 5.7950679","Noord-Brabant",7,11,2019-04-06,3
"250","ADF1617",77,"Krimpenerwaard","51.9822220"," 4.7816670","Zuid-Holland",6,12,2018-12-02,1
"251","ADF1062",63,"Zevenaar","51.9294445"," 6.0769590","Gelderland",7,13,2019-04-02,12
"252","ADF0048",24,"Vlissingen","51.4536672"," 3.5709125","Zeeland",5,13,2019-04-08,1
"253","ADF1909",42,"Roermond","51.1913202"," 5.9877715","Limburg",9,10,2019-04-25,1
"254","ADF0124",24,"Tiel","51.8876176"," 5.4278765","Gelderland",6,12,2019-02-25,2
"255","ADF1118",52,"Katwijk","52.1992517"," 4.4114135","Zuid-Holland",6,14,2019-06-27,1
"256","ADF0513",72,"Ede","52.0401675"," 5.6648594","Gelderland",5,5,2019-05-20,1
"257","ADF1983",23,"Barendrecht","51.8515088"," 4.5485809","Zuid-Holland",5,13,2019-05-08,1
"258","ADF1740",33,"Alkmaar","52.6323813"," 4.7533754","Noord-Holland",5,14,2019-08-06,1
"259","ADF1586",24,"Hardinxveld-Giessendam","51.8324299"," 4.8336405","Zuid-Holland",7,12,2019-01-06,1
