Months.customer,Minutes.in.2018,Number.of.SMS,KBs.used,Total.Unique.Calls,Churn.Status,Customer.Age,LoginsSite.Last.Month,EndSubscription,Total.Call.centre.complaint.calls,MonthlySubscriptionPrice,PaidAfterPaymentDate,PricePhone,Province_Flevoland,Province_Friesland,Province_Gelderland,Province_Groningen,Province_Limburg,Province_Noord-Brabant,Province_Noord-Holland,Province_Overijssel,Province_Utrecht,Province_Zeeland,Province_Zuid-Holland,Previous.provider_Ben,Previous.provider_KPN,Previous.provider_T-Mobile,Previous.provider_TELE2,Previous.provider_Telfort,Previous.provider_Vodafone
58.17,6183.91932,69,2891582.5730000003,16,1,19,4,7,1,39.9855455247849,5.0,258.23357010798,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24.23,4395.3528,8,252.875,138,0,18,6,6,1,45.1722944198771,2.0,266.660923966496,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5.07,5810.7,0,1260824.879,369,0,34,5,2,1,6.30775771351035,2.0,346.95394808187797,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.6,277.68,19,29.4697,2,1,56,3,4,1,29.5567105315069,2.0,-9.625453752195769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26.93,5048.1359999999995,26,59040.6368,131,1,43,2,2,1,-1.1946185076441298,3.0,209.401217485622,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
136.07,1573.68,0,8.6738,79,0,46,5,1,2,36.9759226158499,2.0,489.10338318500504,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
112.67,5202.66,134,1322829.836,170,1,36,7,4,1,-23.9341995265135,3.0,133.256271878212,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47.23,5419.62,0,2166780.011,660,0,18,5,5,1,32.3806551826127,1.0,134.543776170689,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3.93,1051.74,102,114262.0723,18,0,75,3,4,3,41.8238873268908,1.0,207.28615201557702,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11.5,9955.6872,10,46951698.56,150,1,32,7,4,1,5.6750487059902595,2.0,139.891114176714,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
40.03,334.1688,24,6.9453,3,1,49,4,3,1,-3.3972180138427697,1.0,414.926535174614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3.3,851.46,0,17733.4561,23,1,67,10,3,1,28.928614818756397,4.0,66.7776662866274,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.5,479.01599999999996,12,2005.1065,9,1,50,3,3,2,33.0004503907341,3.0,296.907428104329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3.77,4643.58,14,1229.5186,19,1,57,7,4,3,10.9686474788796,2.0,284.613065228435,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32.7,7251.6024,2,31.3535,883,0,21,3,12,2,22.8979081429543,3.0,414.147738565326,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7.97,158.71200000000002,14,0.6953,5,1,45,7,3,1,17.802106424564897,5.0,404.28813835279504,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44.7,4013.2488,36,213.0723,262,0,26,9,4,7,34.4508964778804,0.0,510.977770386633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.57,5867.1792,29,214114.5029,127,0,48,5,3,6,11.4658000411072,0.0,387.67324490233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.47,1872.4008,9,1434072.1819999998,16,0,78,6,2,2,58.5716155723835,1.0,612.603851327049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117.17,6130.08,1,44264.4648,753,0,74,5,1,1,42.126133295614096,4.0,544.754269546497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24.7,5818.2504,101,38622.8975,152,0,35,7,5,1,40.1628135700669,0.0,231.83893473447202,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5.67,4422.6312,40,1205828.366,168,0,23,6,1,1,5.76032303541811,1.0,110.94115335641199,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27.67,7618.9824,0,53822264.18,49,0,76,7,3,1,28.6534143167973,1.0,136.982677413608,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
76.17,355.2144,0,519.3096,33,1,63,4,4,3,0.7578251465655409,2.0,442.940040807465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36.83,323.28,0,615282.6914,23,0,38,6,12,1,16.791260149484803,0.0,204.771601225274,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45.17,3046.656,4,709844.5869,52,0,36,6,2,1,38.9119593828602,2.0,192.37725636475702,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31.2,1025.94,12,9810.959,43,0,44,7,11,1,39.242815216965,1.0,246.934197013865,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30.2,347.4,7,69978.7031,2,1,18,6,6,1,37.11370069446279,1.0,319.295242035594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
129.0,2479.8,0,28141.0098,100,0,2,5,3,1,6.4176426981866594,1.0,371.571787546821,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10.1,1270.8288,30,0.9883,23,1,60,5,4,1,-1.16779416732092,3.0,314.726396074604,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
15.77,7377.7944,37,5429409.755,537,1,77,6,9,1,20.689053183947898,2.0,346.58143039741,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15.7,7448.4072,7,7209087.081,530,1,67,4,6,3,14.352081789275,6.0,395.368881796018,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18.13,304.89599999999996,10,56206.7686,13,1,50,10,3,1,49.360849216530504,4.0,370.20071674089303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21.17,248.88,16,9.8418,3,1,22,7,3,1,43.657684428372406,3.0,259.249833435618,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.87,5414.328,64,710991.4942,55,1,60,4,9,2,10.3460030329249,3.0,80.3127194549788,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
113.3,3701.712,19,4647.8037,58,0,40,3,4,3,44.3284222152251,1.0,465.648801288874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23.53,6848.448,65,457845.25,105,0,73,3,5,1,15.4524502479191,2.0,400.56461631057505,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45.0,198.68400000000003,10,656.3877,2,1,29,5,4,1,34.604282375155805,5.0,247.355538606447,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4.7,4862.28,50,210613.8564,78,0,35,3,8,1,0.519558388793026,0.0,335.820061201743,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4.17,8767.68,199,341.1387,218,1,60,6,3,4,33.1881243604985,3.0,76.83117332024571,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111.37,5514.396,6,200704.8692,502,0,88,8,4,3,35.6834088199937,0.0,604.883535854178,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42.1,248.52,25,1134.0234,1,1,45,3,4,1,21.1308852276645,3.0,361.703269062819,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28.5,258.92400000000004,14,4.9688,5,1,24,5,1,1,38.600998630202106,2.0,-27.1505794417889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
162.1,8400.9624,183,311973.1495,95,1,49,7,6,1,15.7486661386304,7.0,-100.422519735557,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3.8,3297.06,7,13.1279,195,0,18,7,3,2,26.609633363933398,3.0,421.405685629748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74.57,5348.472,20,455796.5185,447,1,98,7,4,1,9.29005892164166,3.0,330.104303442471,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88.93,32967.792,35,9890750.658,114,1,53,5,11,1,-4.10788526836505,2.0,274.37563748000196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103.27,5937.12,1,1290513.913,557,0,39,6,7,2,16.53108969827,3.0,444.476526928404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
80.6,1186.44,0,42678.7422,9,0,63,4,5,13,40.969180099215706,1.0,91.48924076343641,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
91.57,6006.191999999999,2,14016501.09,54,0,51,8,3,1,46.30577135233371,1.0,356.686621244768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
83.17,513.66,1,74275.2901,5,0,67,6,2,3,26.747665396313,2.0,634.8132651938761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.87,8293.1904,6,774782.8448,805,1,41,3,1,3,25.689115310665496,4.0,377.83261235947305,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23.8,6323.9352,56,1874057.9019999998,239,0,22,5,4,1,32.088496683245204,2.0,315.04352113451597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3.67,2870.58,51,262430.7578,137,0,57,5,6,1,16.665110073738898,2.0,238.10828469553502,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
72.83,7589.82,128,438808.2159,165,1,24,7,7,15,4.96891940693784,2.0,212.059692314584,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42.57,458.2824,16,102332.8555,4,1,55,7,6,1,28.278595967349702,3.0,584.401925921903,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19.7,914.868,34,1106.2207,20,1,71,4,5,1,27.287832672066497,4.0,184.93517339499297,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3.73,532.68,0,2771.9062,13,1,33,7,5,1,16.718851995634598,1.0,175.382515059193,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
89.8,450.408,37,4824.7158,4,1,97,5,3,1,15.1355793998226,2.0,407.328988578667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39.13,7805.64,2,1831580.459,334,1,44,7,5,1,23.7608408952557,1.0,302.075872728861,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3.63,2924.4,4,52642.8291,33,0,37,9,5,3,12.353270238378698,3.0,522.458528948645,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4.4,1081.428,0,49.0645,112,0,43,3,2,1,50.627907290712606,1.0,510.405976608249,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62.77,4272.384,19,1863.6113,150,0,75,5,6,1,48.732156070208305,2.0,327.034811603339,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.07,1118.4432,18,1752.0635,30,1,71,10,8,1,31.3449967331955,2.0,104.653810511165,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
138.5,6356.724,0,793819.2588,444,0,68,3,5,1,37.827955856368106,1.0,597.690661630385,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4.5,6439.728,0,41440817.15,114,0,72,1,2,1,58.613258831767794,1.0,280.658983236773,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
161.53,8204.34,0,3076593.1989999996,597,1,22,10,5,12,35.279580317249795,2.0,283.874929370383,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9.4,1912.332,18,12481926.14,3,0,28,5,5,1,22.571544315485102,2.0,228.937348440139,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21.7,4434.3168,137,8560.0986,75,1,38,8,3,1,0.861376266159851,2.0,404.72929884667803,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
39.87,930.0048,24,254941.6182,13,1,51,5,6,1,22.364030531929497,3.0,183.56425144341998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12.57,5384.04,0,1376099.551,694,0,50,5,2,1,35.109479475633805,4.0,155.600000141751,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15.07,10126.08,18,12370663.76,578,1,21,7,6,1,25.311024292720003,4.0,213.086765036341,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31.03,1778.52,2,36708.586,55,0,22,6,1,1,19.5540345223749,3.0,491.59640677185996,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12.17,2697.8304,7,20118693.29,11,0,46,3,5,3,54.1908871789266,2.0,448.99527349585,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5.73,142.15200000000002,14,79.1143,2,1,29,5,6,1,22.4078371268929,4.0,-37.7059510644422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5.8,940.632,32,201527.4873,23,1,57,4,1,1,14.811375693797801,2.0,195.633798181159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31.4,238.9824,3,75.1768,15,1,49,6,1,2,48.4156118379982,1.0,327.179191897343,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4.0,2748.4152,0,13718896.96,140,0,53,8,1,1,11.825100331635001,1.0,292.13311481616404,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.57,3480.6096,7,32422253.71,32,0,28,5,6,6,45.5023477747289,1.0,453.304978467312,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.57,1179.54,0,38424.5,40,1,22,8,4,1,28.1700954949188,4.0,261.889797027907,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62.2,838.92,15,15420.0967,41,1,33,3,1,1,-24.6687760505605,4.0,221.90861810509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.13,17392.944,25,305853.3282,642,1,36,3,4,1,29.108814429453002,2.0,344.75117036742205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55.1,6635.472,14,2959285.291,527,0,37,8,1,1,19.881497293290103,2.0,448.27422533365996,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27.1,5042.795999999999,1,1090308.83,271,0,56,7,8,9,22.6628343384492,2.0,44.8156626159415,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
43.43,633.36,32,10.5029,11,1,95,7,3,1,42.170808848946,2.0,230.160962672738,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32.8,5786.4768,59,126.91799999999999,233,1,18,6,2,1,33.4108359056752,1.0,88.7870977446881,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
16.57,4724.22,0,648.1895,20,0,69,8,1,5,38.4425266003841,3.0,290.911499008656,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.47,7469.1264,2,8571344.329,328,0,55,4,4,1,26.5809728090088,1.0,461.70879587695396,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10.23,3235.44,10,21856.3565,49,0,19,2,6,2,45.4514954579308,1.0,369.400424378194,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
18.97,1419.7704,18,9040.2402,52,0,64,6,12,3,36.8793330279303,4.0,736.945876849496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69.53,4626.1824,32,875100.6367,222,1,46,4,3,1,10.3968499829323,6.0,228.99524477950402,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
119.2,922.404,7,289.2783,37,1,49,9,5,1,30.2842501408348,1.0,578.32126623771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.23,2841.636,5,3494.3740000000003,96,0,32,3,1,1,46.80343219141751,3.0,424.262773473787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
61.67,235.68,18,10.749,4,1,71,5,3,1,31.686484334102996,2.0,263.430800227749,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24.83,2702.7072,32,118434.7422,176,0,38,6,4,1,40.354957500753606,1.0,217.183316767588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
58.6,3338.1696,5,190.5137,193,0,30,5,4,1,34.9995106021365,2.0,286.776978788448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24.77,7299.564,9,159984.2959,337,0,28,3,4,3,22.6669690725905,3.0,188.106022526483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.1,4841.6759999999995,7,106262.2588,245,1,59,10,4,1,5.33529249798601,1.0,112.46638828161998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70.37,1150.08,0,164809.3564,12,1,24,9,2,6,33.1714734610394,3.0,397.45224384143097,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
112.73,6277.968000000001,7,312453.664,364,0,64,9,3,2,45.6902998901511,1.0,388.45484335171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12.93,731.5968,30,7794.5664,13,1,64,1,1,1,18.2376414054965,4.0,286.42390709465303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15.03,6134.4,11,2651372.8430000003,500,0,31,3,2,2,35.540060860787705,1.0,342.611868649389,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
84.77,3268.6679999999997,42,968509.3301,822,0,77,2,5,1,46.4668166472241,2.0,206.39710110012402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.57,1319.424,34,35845.0654,55,1,24,5,3,1,14.899469368155598,2.0,369.79040893531095,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62.27,720.7224,23,440.1846,23,1,51,1,6,1,14.8588274532544,2.0,222.142572888115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.5,361.452,0,1000420.099,2,1,59,5,5,1,14.199941124117801,2.0,470.175583434251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
93.73,2643.0096,7,946863.3144,41,0,24,4,5,8,28.9150531926193,2.0,456.755545656015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39.93,14930.628,26,1213104.4340000001,268,1,53,6,3,1,51.459901293594896,6.0,403.255472729648,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
141.2,15407.7,17,813623.8799,624,1,41,5,4,1,20.4351806358783,2.0,485.471172888924,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85.87,7333.3224,42,353759.3291,98,1,31,6,5,3,-6.913680627725849,3.0,107.714303455679,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
7.0,184.7304,7,702.4287,9,1,18,9,4,1,22.477644077322804,2.0,115.033813259961,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77.07,6563.531999999999,15,459247.2343,63,0,84,3,7,1,34.3371568104596,3.0,485.890296625685,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106.4,2968.38,2,2555.8096,87,0,35,6,4,1,42.1139437130126,3.0,132.01514217086398,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12.2,7806.8928,24,266689.4639,1128,1,45,4,4,2,16.2640555498745,3.0,222.420161075917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4.3,6813.12,76,6615818.753,168,1,76,4,2,2,18.7902656028248,1.0,148.589866386834,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3.73,618.6504,2,1262138.999,13,1,36,7,3,1,18.803112436784502,2.0,-28.8583015819443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4.3,634.572,7,4.5273,34,1,51,5,4,1,29.3196798385949,2.0,401.576981748364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.83,6174.84,24,590660.2422,339,0,85,3,6,1,22.9139017163869,0.0,453.837835305524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26.43,40130.88,12,7201706.051,575,0,62,5,2,1,26.853147598727396,3.0,275.257049204713,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
17.23,3649.3920000000003,2,34119740.49,44,0,47,4,6,4,27.2325834220293,2.0,464.179848540219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
115.97,1133.4,28,5279.8809,32,0,52,6,4,4,29.3171159561254,1.0,423.285938319572,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32.47,878.628,23,900.5996,30,1,68,5,6,1,42.811252593452295,6.0,238.866542745603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22.37,713.712,5,151865.1455,5,1,53,9,3,1,28.0418183699901,3.0,199.87658764385898,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46.57,1181.448,11,196.5947,48,1,62,7,3,1,3.30759240411717,3.0,201.375556256885,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
63.67,1481.6088,23,13070.3477,174,0,93,4,5,1,41.0355909670046,1.0,310.14716729089804,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
71.07,3883.2408,15,6050.709,200,1,25,5,1,1,25.2683542223677,2.0,256.695141232826,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3.9,753.9624,0,151034.4561,15,1,76,5,3,2,3.1576195721246805,1.0,125.61673314339399,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
93.1,254.88,12,332.3574,7,1,42,4,1,1,42.4461553106179,1.0,341.05942185079,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35.2,5083.0392,25,274.0664,415,0,64,5,4,7,48.2580626841491,1.0,279.086333491802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31.4,750.9,2,12096.7159,22,1,63,6,4,1,21.5995465401273,4.0,212.28860583115602,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.1,165.06,2,398.6514,5,0,38,3,1,1,39.7255696280048,1.0,458.01658760241503,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12.3,958.5239999999999,17,4868.1738,12,1,44,6,7,1,23.5771288283645,6.0,187.888316794603,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.87,26903.34,255,2807094.6010000003,569,0,23,6,3,2,37.3069199691217,3.0,245.372627041746,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9.37,7820.268,3,23869.7158,452,1,40,9,3,1,9.6187976620905,2.0,554.072535895487,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9.47,5284.62,0,84606.3692,932,0,69,5,5,1,39.8422313494276,2.0,315.581386191885,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103.8,6873.66,2,1164443.2959999999,600,0,66,5,1,3,17.5152375504884,3.0,366.46697539214404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.03,5397.7944,5,39960102.3,33,0,33,6,5,1,38.328766002015904,3.0,497.984800091916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51.13,4147.392,0,4451.5489,251,1,29,6,3,2,14.633061805223802,1.0,186.115660699969,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6.5,1196.2704,24,269214.8594,2,1,35,4,3,1,23.361605235332103,2.0,113.74770317423099,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6.9,533.34,18,365.0967,22,1,43,4,6,1,12.597761673143198,2.0,323.558353397729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35.37,2538.0768,5,381433.8233,351,0,60,9,8,2,-2.98487754246235,1.0,157.377502282637,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
47.97,6483.72,16,2591950.424,166,0,66,3,1,2,25.398839644172515,4.0,394.080464798999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11.03,8810.22,164,285336.3916,87,1,63,5,5,2,9.099575287476199,4.0,73.79986374220779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69.5,450.94800000000004,21,47.126000000000005,16,1,61,10,5,1,41.979620288685105,4.0,404.389718902934,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
20.63,250.2,25,248.5791,1,1,63,5,5,1,33.2585904667544,1.0,286.94847449559103,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
141.53,2766.18,0,1807971.9230000002,260,0,91,7,4,1,47.6101853367399,1.0,282.50943384428797,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
66.47,2933.4959999999996,31,5483217.191000001,28,0,30,6,3,1,50.5006753839939,2.0,469.97873647676903,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
